,Zip code,Neighborhood
0,20001,"Cardozo , Howard University , Le Droit Park , Logan Circle , Mount Vernon Square , Shaw , North Capitol Street , Penn Quarter "
1,20002,"Arboretum , Carver Langston , Eckington , Ivy City , Kingman Park , Lincoln Park , Stanton Park , Trinidad , Union Station , Capitol Hill "
2,20003,"Navy Yard , Near Southeast "
3,20007,"Burleith , Foxhall Crescent , Foxhall Village , Georgetown , Georgetown Reservoir , Glover Park , Hillandale , Massachusetts Avenue Heights "
4,20008,"Cleveland Park , Forest Hills , North Cleveland Park , Van Ness , Woodland-Normanstone Terrace , Woodley Park , Woodland , Kalorama Heights "
5,20009,"Adams Morgan , Fairmont Heights , Lanier Heights , Summit Park "
6,20010,"Columbia Heights , Mt. Pleasant , Park View , Pleasant Plains "
7,20011,"Brightwood , Brightwood Park , Crestwood , Fort Totten , Lamond Riggs , Manor Park , Petworth , Queens Chapel , Sheridan "
8,20012,"Colonial Village , North Portal Estates , Shepherd Park , Takoma "
9,20015,"Barnaby Woods , Chevy Chase , Hawthorne "
10,20016,"American University Park , Cathedral Heights , Friendship Heights , Hillbrook , Mahaning Heights , McLean Gardens , Palisades , Spring Valley , Tenleytown , Wesley Heights "
11,20017,"Bloomingdale , Brookland , Edgewood , Michigan Park , North Michigan Park , Truxton Circle , University Heights "
12,20018,"Fort Lincoln , Gateway , Langdon , Woodridge "
13,20019,"Benning , Benning Heights , Burrville , Deanwood , Eastland Gardens , Fort Dupont , Grant Park , Greenway , Kenilworth , Lincoln Heights , Marshall Heights , Mayfair , Penn Branch , River Terrace "
14,20020,"Barry Farm , Buena Vista , Capitol View , Douglass , Dupont Park , Fairfax Village , Fairlawn , Fort Davis Park , Fort Stanton , Garfield Heights , Hillcrest , Historic Anacostia , Knox Hill , Naylor Gardens , Pleasant Hill , Randle Highlands , Shipley Terrace , Twining "
15,20024,"Buzzard Point , Southwest Employment Area , Southwest , Southwest Waterfront "
16,20032,"Bellevue , Congress Heights , Washington Highlands"
17,20036,"Connecticut Avenue , Dupont Circle , K Street "
18,20037,"Foggy Bottom , GWU , West End "
19,20319,Fort McNair 
20,20722,Brentwood 
